# [Filetype: Wrye Mash Remover]
# All creatures added by Neoptolemus' Morrowind Comes Alive v5.1
# by Dragon32

# MCA 5.1
"_MCA_skeleton"	"Skeleton"
"_MCA_outlaw35_altmer_f"	"Markswoman"
"_MCA_outlaw35_bosmer_f"	"Markswoman"
"_MCA_outlaw35_dunmer_f"	"Markswoman"
"_MCA_outlaw35_orc_f"	"Markswoman"
"_MCA_outlaw35_breton_f"	"Markswoman"
"_MCA_outlaw35_imp_f"	"Markswoman"
"_MCA_outlaw35_nord_f"	"Markswoman"
"_MCA_outlaw35_redg_f"	"Markswoman"
"_MCA_outlaw35_khajiit_f"	"Markswoman"
"_MCA_outlaw35_arg_f"	"Markswoman"
"_MCA_witch_khajiit_f"	"Witch"
"_MCA_witch_khajiit_m"	"Warlock"
"_MCA_witch_argonian_m"	"Warlock"
"_MCA_witch_argonian_f"	"Witch"
"_MCA_seducer_01"	"Seducer"
"_MCA_seducer_02"	"Seducer"
"_MCA_seducer_03"	"Seducer"
"_MCA_seducer_04"	"Seducer"
"_MCA_seducer_05"	"Seducer Queen"
"_MCA_dremora_warrior"	"Dremora Warrior"
"_MCA_dremora_champion"	"Dremora Champion"
"_MCA_dremora_battlemage"	"Dremora Battlemage"
"_MCA_dremora_warmaster"	"Dremora Warmaster"
"_MCA_dremora_marksman"	"Dremora Marksman"
"_MCA_paladin_mara_bre_f"	"Paladin"
"_MCA_paladin_mara_imp_f"	"Paladin"
"_MCA_paladin_mara_nor_f"	"Paladin"
"_MCA_paladin_mara_nor_m"	"Paladin"
"_MCA_paladin_mara_imp_m"	"Paladin"
"_MCA_paladin_mara_bre_m"	"Paladin"
"_MCA_paladin_akat_bre_f"	"Paladin"
"_MCA_paladin_akat_imp_f"	"Paladin"
"_MCA_paladin_akat_nor_f"	"Paladin"
"_MCA_paladin_akat_nor_m"	"Paladin"
"_MCA_paladin_akat_imp_m"	"Paladin"
"_MCA_paladin_akat_bre_m"	"Paladin"
"_MCA_paladin_arka_bre_m"	"Paladin"
"_MCA_paladin_kyna_bre_m"	"Paladin"
"_MCA_paladin_dibe_bre_m"	"Paladin"
"_MCA_paladin_jet_bre_m"	"Paladin"
"_MCA_paladin_jet_bre_f"	"Paladin"
"_MCA_paladin_jet_imp_f"	"Paladin"
"_MCA_paladin_jet_imp_m"	"Paladin"
"_MCA_paladin_jet_nor_m"	"Paladin"
"_MCA_paladin_jet_nor_f"	"Paladin"
"_MCA_paladin_dibe_bre_f"	"Paladin"
"_MCA_paladin_dibe_imp_f"	"Paladin"
"_MCA_paladin_dibe_imp_m"	"Paladin"
"_MCA_paladin_dibe_nor_m"	"Paladin"
"_MCA_paladin_dibe_nor_f"	"Paladin"
"_MCA_paladin_arka_bre_f"	"Paladin"
"_MCA_paladin_arka_imp_f"	"Paladin"
"_MCA_paladin_arka_imp_m"	"Paladin"
"_MCA_paladin_arka_nor_m"	"Paladin"
"_MCA_paladin_arka_nor_f"	"Paladin"
"_MCA_paladin_kyna_bre_f"	"Paladin"
"_MCA_paladin_kyna_imp_f"	"Paladin"
"_MCA_paladin_kyna_imp_m"	"Paladin"
"_MCA_paladin_kyna_nor_m"	"Paladin"
"_MCA_paladin_kyna_nor_f"	"Paladin"
"_MCA_companion_arran"	"Arran"
"_MCA_companion_zarna"	"Zarna"
"_MCA_guard_hlaalu_f2"	"Hlaalu Archer"
"_MCA_guard_redoran_f2"	"Redoran Archer"
"_MCA_guard_telvanni_f2"	"Telvanni Archer"
"_MCA_guard_hlaalu_m2"	"Hlaalu Archer"
"_MCA_guard_redoran_m2"	"Redoran Archer"
"_MCA_guard_telvanni_m2"	"Telvanni Archer"
"_MCA_ordinator_elite_m"	"Elite Ordinator"
"_MCA_crusader_breton_m"	"Crusader"
"_MCA_crusader_breton_f"	"Crusader"
"_MCA_crusader_nord_f"	"Crusader"
"_MCA_crusader_imp_f"	"Crusader"
"_MCA_crusader_nord_m"	"Crusader"
"_MCA_crusader_imp_m"	"Crusader"
"_MCA_courtesan_bret_f8"	"Courtesan"
"_MCA_courtesan_dun_f6"	"Courtesan"
"_MCA_courtesan_imp_f5"	"Courtesan"
"_MCA_courtesan_nord_f5"	"Courtesan"
"_MCA_courtesan_nord_f6"	"Courtesan"
"_MCA_courtesan_nord_f7"	"Courtesan"
"_MCA_courtesan_bret_f9"	"Courtesan"
"_MCA_merchants_cart_01"	"Merchant's Cart"
"_MCA_merchants_cart_02"	"Merchant's Cart"
"_MCA_merchant_bosmer_m"	"Traveling Merchant"
"_MCA_merchant_breton_m"	"Traveling Merchant"
"_MCA_merchant_dunmer_m"	"Traveling Merchant"
"_MCA_merchant_altmer_m"	"Traveling Merchant"
"_MCA_merchant_imp_m"	"Traveling Merchant"
"_MCA_merchant_khajiit_m"	"Traveling Merchant"
"_MCA_merchant_khajiit_f"	"Traveling Merchant"
"_MCA_merchant_nord_m"	"Traveling Merchant"
"_MCA_merchant_redg_m"	"Traveling Merchant"
"_MCA_merchant_nord_f"	"Traveling Merchant"
"_MCA_merchant_breton_f"	"Traveling Merchant"
"_MCA_merchant_altmer_f"	"Traveling Merchant"
"_MCA_merchant_redg_f"	"Traveling Merchant"
"_MCA_merchant_imp_f"	"Traveling Merchant"
"_MCA_merchant_dunmer_f"	"Traveling Merchant"
"_MCA_merchant_bosmer_f"	"Traveling Merchant"
"_MCA_merchant_arg_f"	"Traveling Merchant"
"_MCA_merchant_arg_m"	"Traveling Merchant"
"_MCA_druid_breton_m"	"Druid"
"_MCA_druid_breton_f"	"Druid"
"_MCA_druid_imperial_f"	"Druid"
"_MCA_druid_imperial_m"	"Druid"
"_MCA_druid_nord_m"	"Druid"
"_MCA_druid_nord_f"	"Druid"
"_MCA_druid_bosmer_f"	"Druid"
"_MCA_druid_bosmer_m"	"Druid"
"_MCA_bard_altmer_m"	"Bard"
"_MCA_minstrel_altmer_m"	"Minstrel"
"_MCA_bard_altmer_f"	"Bard"
"_MCA_bard_bosmer_m"	"Bard"
"_MCA_bard_dunmer_m"	"Bard"
"_MCA_bard_imperial_m"	"Bard"
"_MCA_bard_nord_m"	"Bard"
"_MCA_bard_redguard_m"	"Bard"
"_MCA_bard_bosmer_f"	"Bard"
"_MCA_bard_dunmer_f"	"Bard"
"_MCA_bard_imperial_f"	"Bard"
"_MCA_bard_nord_f"	"Bard"
"_MCA_bard_redguard_f"	"Bard"
"_MCA_bard_breton_f"	"Bard"
"_MCA_bard_breton_m"	"Bard"
"_MCA_minstrel_bosmer_m"	"Minstrel"
"_MCA_minstrel_dunmer_m"	"Minstrel"
"_MCA_minstrel_imp_m"	"Minstrel"
"_MCA_minstrel_breton_m"	"Minstrel"
"_MCA_minstrel_nord_m"	"Minstrel"
"_MCA_minstrel_redg_m"	"Minstrel"
"_MCA_illusionist_alt_f"	"Illusionist"
"_MCA_illusionist_alt_m"	"Illusionist"
"_MCA_illusionist_bos_m"	"Illusionist"
"_MCA_illusionist_bos_f"	"Illusionist"
"_MCA_illusionist_dun_f"	"Illusionist"
"_MCA_illusionist_dun_m"	"Illusionist"
"_MCA_illusionist_bre_m"	"Illusionist"
"_MCA_illusionist_bre_f"	"Illusionist"
"_MCA_illusionist_nord_f"	"Illusionist"
"_MCA_illusionist_nord_m"	"Illusionist"
"_MCA_illusionist_imp_m"	"Illusionist"
"_MCA_illusionist_imp_f"	"Illusionist"
"_MCA_illusionist_redg_f"	"Illusionist"
"_MCA_illusionist_redg_m"	"Illusionist"
"_MCA_illusionist_arg_m"	"Illusionist"
"_MCA_illusionist_arg_f"	"Illusionist"
"_MCA_illusionist_khaj_f"	"Illusionist"
"_MCA_illusionist_khaj_m"	"Illusionist"
"_MCA_minstrel_altmer_f"	"Minstrel"
"_MCA_minstrel_bosmer_f"	"Minstrel"
"_MCA_minstrel_breton_f"	"Minstrel"
"_MCA_minstrel_dunmer_f"	"Minstrel"
"_MCA_minstrel_imp_f"	"Minstrel"
"_MCA_minstrel_nord_f"	"Minstrel"
"_MCA_minstrel_redg_f"	"Minstrel"
"_MCA_bountyhunter_bos_m"	"Bounty Hunter"
"_MCA_bountyhunter_bos_f"	"Bounty Hunter"
"_MCA_bountyhunter_bre_f"	"Bounty Hunter"
"_MCA_bountyhunter_bre_m"	"Bounty Hunter"
"_MCA_bountyhunter_dun_m"	"Bounty Hunter"
"_MCA_bountyhunter_dun_f"	"Bounty Hunter"
"_MCA_bountyhunter_imp_f"	"Bounty Hunter"
"_MCA_bountyhunter_imp_m"	"Bounty Hunter"
"_MCA_bountyhunter_nor_m"	"Bounty Hunter"
"_MCA_bountyhunter_nor_f"	"Bounty Hunter"
"_MCA_bountyhunter_orc_f"	"Bounty Hunter"
"_MCA_bountyhunter_orc_m"	"Bounty Hunter"
"_MCA_bountyhunter_red_m"	"Bounty Hunter"
"_MCA_bountyhunter_red_f"	"Bounty Hunter"
"_MCA_companion_neo"	"Neoptolemus"
"_MCA_BM_draugr_lord"	"Draugr Lord"
"_MCA_barrow_wight"	"Barrow Wight"
"_MCA_BM_frost_lich01"	"Frost Lich"
"_MCA_BM_frost_lich05"	"Greater Frost Lich"
"_MCA_pack_rat"	"Pack Rat"
"_MCA_pack_guar"	"Pack Guar"
"_MCA_pack_guar_dead"	"Dead Pack Guar"
"_MCA_goblin"	"Goblin"
"_MCA_goblin_champion"	"Goblin Champion"
"_MCA_goblin_berserker"	"Goblin Berserker"
"_MCA_BM_frost_lich02"	"Frost Lich"
"_MCA_BM_frost_lich03"	"Frost Lich"
"_MCA_BM_frost_lich04"	"Frost Lich"
"_MCA_ash_vampire"	"Ash Vampire"
"_MCA_tame_wolf_black"	"Wolf"
"_MCA_tame_wolf_red"	"Wolf"
"_MCA_tame_wolf_white"	"Snow Wolf"
